"","code","name"
"1",110101,"东城区"
"2",110102,"西城区"
"3",110103,"崇文区"
"4",110104,"宣武区"
"5",110105,"朝阳区"
"6",110106,"丰台区"
"7",110107,"石景山"
"8",110108,"海淀区"
"9",110109,"门头沟"
"10",110111,"房山区"
"11",110112,"通州区"
"12",110113,"顺义区"
"13",110221,"昌平县"
"14",110224,"大兴县"
"15",110226,"平谷县"
"16",110227,"怀柔县"
"17",110228,"密云县"
"18",110229,"延庆县"
"19",120101,"和平区"
"20",120102,"河东区"
"21",120103,"河西区"
"22",120104,"南开区"
"23",120105,"河北区"
"24",120106,"红桥区"
"25",120107,"塘沽区"
"26",120108,"汉沽区"
"27",120109,"大港区"
"28",120110,"东丽区"
"29",120111,"西青区"
"30",120112,"津南区"
"31",120113,"北辰区"
"32",120221,"宁河县"
"33",120222,"武清县"
"34",120223,"静海县"
"35",120224,"宝坻县"
"36",120225,"蓟县"
"37",130101,"市辖区"
"38",130102,"长安区"
"39",130103,"桥东区"
"40",130104,"桥西区"
"41",130105,"新华区"
"42",130106,"郊区"
"43",130107,"井陉矿"
"44",130121,"井陉县"
"45",130123,"正定县"
"46",130124,"栾城县"
"47",130125,"行唐县"
"48",130126,"灵寿县"
"49",130127,"高邑县"
"50",130128,"深泽县"
"51",130129,"赞皇县"
"52",130130,"无极县"
"53",130131,"平山县"
"54",130132,"元氏县"
"55",130133,"赵县"
"56",130181,"辛集市"
"57",130182,"藁城市"
"58",130183,"晋州市"
"59",130184,"新乐市"
"60",130185,"鹿泉市"
"61",130201,"市辖区"
"62",130202,"路南区"
"63",130203,"路北区"
"64",130204,"古冶区"
"65",130205,"开平区"
"66",130206,"新区"
"67",130221,"丰润县"
"68",130223,"滦县"
"69",130224,"滦南县"
"70",130225,"乐亭县"
"71",130227,"迁西县"
"72",130229,"玉田县"
"73",130230,"唐海县"
"74",130281,"遵化市"
"75",130282,"丰南市"
"76",130283,"迁安市"
"77",130301,"市辖区"
"78",130302,"海港区"
"79",130303,"山海关区"
"80",130304,"北戴河区"
"81",130321,"青龙县"
"82",130322,"昌黎县"
"83",130323,"抚宁县"
"84",130324,"卢龙县"
"85",130401,"市辖区"
"86",130402,"邯山区"
"87",130403,"丛台区"
"88",130404,"复兴区"
"89",130406,"峰峰矿区"
"90",130421,"邯郸县"
"91",130423,"临漳县"
"92",130424,"成安县"
"93",130425,"大名县"
"94",130426,"涉县"
"95",130427,"磁县"
"96",130428,"肥乡县"
"97",130429,"永年县"
